,label 1,label 2,Dice Score,Hausdorff distance
81,HNC01_392.nii.gz,HNC01_392.nii.gz,0.8502598016060463,2.23606797749979
82,HNC01_396.nii.gz,HNC01_396.nii.gz,0.7799016930638996,28.39013913315678
83,HNC01_406.nii.gz,HNC01_406.nii.gz,0.7928746070555361,2.8284271247461903
84,HNC01_413.nii.gz,HNC01_413.nii.gz,0.8262295081967214,1.4142135623730951
85,HNC01_414.nii.gz,HNC01_414.nii.gz,0.9014733642225,18.411952639521967
86,HNC01_419.nii.gz,HNC01_419.nii.gz,0.9066265060240963,2.23606797749979
87,HNC01_427.nii.gz,HNC01_427.nii.gz,0.33881689384274494,17.88854381999832
88,HNC01_434.nii.gz,HNC01_434.nii.gz,0.8732274875772633,3.0
89,HNC01_439.nii.gz,HNC01_439.nii.gz,0.956195809248555,18.547236990991408
90,HNC01_440.nii.gz,HNC01_440.nii.gz,0.7526994996049513,5.196152422706632
91,HNC01_448.nii.gz,HNC01_448.nii.gz,0.48613138686131385,12.0
92,HNC01_451.nii.gz,HNC01_451.nii.gz,0.8949762458303852,56.40921910468182
93,HNC01_452.nii.gz,HNC01_452.nii.gz,0.9190104583838707,7.615773105863909
94,HNC01_458.nii.gz,HNC01_458.nii.gz,0.8716403139830413,18.49324200890693
95,HNC01_460.nii.gz,HNC01_460.nii.gz,0.7075850978290003,22.15851980616034
96,HNC01_463.nii.gz,HNC01_463.nii.gz,0.8639766056347249,37.815340802378074
97,HNC01_464.nii.gz,HNC01_464.nii.gz,0.9380711049681333,33.13608305156178
98,HNC01_468.nii.gz,HNC01_468.nii.gz,0.6974747836039774,35.35533905932738
99,HNC01_469.nii.gz,HNC01_469.nii.gz,0.9506790310236193,22.58317958127243
100,HNC01_473.nii.gz,HNC01_473.nii.gz,0.8988988988988988,3.7416573867739413
101,HNC01_476.nii.gz,HNC01_476.nii.gz,0.8213300643579527,2.0
102,HNC01_478.nii.gz,HNC01_478.nii.gz,0.9101174756397413,6.082762530298219
103,HNC01_502.nii.gz,HNC01_502.nii.gz,0.8670962314296093,12.041594578792296
104,HNC01_505.nii.gz,HNC01_505.nii.gz,0.8811156572350602,6.557438524302
105,HNC01_510.nii.gz,HNC01_510.nii.gz,0.8841285296981499,27.622454633866266
106,HNC01_511.nii.gz,HNC01_511.nii.gz,0.9235215108470023,28.442925306655784
107,HNC01_512.nii.gz,HNC01_512.nii.gz,0.8739713143663297,71.61703707917552
108,HNC01_517.nii.gz,HNC01_517.nii.gz,0.9306930693069307,26.1725046566048
109,HNC01_522.nii.gz,HNC01_522.nii.gz,0.9451685709732532,37.013511046643494
110,HNC01_523.nii.gz,HNC01_523.nii.gz,0.3109614850047874,68.07348970047003
111,HNC01_527.nii.gz,HNC01_527.nii.gz,0.9466685799014684,11.313708498984761
112,HNC01_542.nii.gz,HNC01_542.nii.gz,0.0,60.0
113,HNC01_546.nii.gz,HNC01_546.nii.gz,0.9156285390713477,95.10520490488415
114,HNC01_554.nii.gz,HNC01_554.nii.gz,0.9061746928455734,3.3166247903554
115,HNC01_560.nii.gz,HNC01_560.nii.gz,0.5514049586776859,40.90232267243512
116,HNC01_563.nii.gz,HNC01_563.nii.gz,0.8522010445635216,9.0
117,HNC01_565.nii.gz,HNC01_565.nii.gz,0.7087011349306431,3.605551275463989
118,HNC01_583.nii.gz,HNC01_583.nii.gz,0.9081665077851923,2.0
119,HNC01_588.nii.gz,HNC01_588.nii.gz,0.9459948517980478,9.219544457292887
120,HNC01_596.nii.gz,HNC01_596.nii.gz,0.9362845170301923,3.605551275463989
121,HNC01_599.nii.gz,HNC01_599.nii.gz,0.9257158618787388,18.110770276274835
122,HNC01_602.nii.gz,HNC01_602.nii.gz,0.8551181102362204,42.07136793592526
123,HNC01_608.nii.gz,HNC01_608.nii.gz,0.7896848137535817,86.74099376880577
124,HNC01_609.nii.gz,HNC01_609.nii.gz,0.8320768784690581,9.486832980505138
125,HNC01_611.nii.gz,HNC01_611.nii.gz,0.8855517332627679,3.1622776601683795
126,HNC01_613.nii.gz,HNC01_613.nii.gz,0.9089603676048248,7.681145747868608
127,HNC01_620.nii.gz,HNC01_620.nii.gz,0.7750865051903114,1.4142135623730951
128,HNC01_628.nii.gz,HNC01_628.nii.gz,0.8527729420542154,45.39823785126467
129,HNC01_639.nii.gz,HNC01_639.nii.gz,0.6476683937823834,9.433981132056603
130,HNC01_644.nii.gz,HNC01_644.nii.gz,0.6577777777777778,15.132745950421556
131,HNC01_668.nii.gz,HNC01_668.nii.gz,0.7412068771772109,55.47071299343465
132,HNC01_671.nii.gz,HNC01_671.nii.gz,0.8153946510110893,17.88854381999832
133,HNC01_678.nii.gz,HNC01_678.nii.gz,0.8845716647721401,1.7320508075688772
134,HNC01_681.nii.gz,HNC01_681.nii.gz,0.9425623867280079,61.25357132445422
135,HNC01_685.nii.gz,HNC01_685.nii.gz,0.8997867803837953,1.4142135623730951
136,HNC01_691.nii.gz,HNC01_691.nii.gz,0.7119248971991621,12.12435565298214
137,HNC01_698.nii.gz,HNC01_698.nii.gz,0.8766306373462542,2.0
